results_([a-zA-Z0-9_\.\+]+)_((splash2|parsec)-.*)
name                  filter                                         config                                                                                       tasks      cores    clockspeed    sim. time (ns)    avg resp time (ns)    peak power / thread (W)    avg power (W)    energy (J)    peak temperature (C)
--------------------  ---------------------------------------------  -------------------------------------------------------------------------------------------  -------  -------  ------------  ----------------  --------------------  -------------------------  ---------------  ------------  ----------------------
parsec-x264           1.0GHz+maxFreq+2arrivals                       parsec-x264-simsmall-1,parsec-x264-simsmall-1                                                parsec         1             1         122834200             122707423                   1.96665          18.3654       2.25589                 157.31
parsec-x264           1.0GHz+maxFreq+3arrivals                       parsec-x264-simsmall-1,parsec-x264-simsmall-1,parsec-x264-simsmall-1                         parsec         1             1         462608300             462467378                   0.408595          3.62603      1.67743                  55.2128
parsec-x264           1.0GHz+maxFreq+4arrivals                       parsec-x264-simsmall-1,parsec-x264-simsmall-1,parsec-x264-simsmall-1,parsec-x264-simsmall-1  parsec         1             1         465113800             464706813                   0.395175          4.20502      1.95581                  55.2669
parsec-blackscholes   1.0GHz+maxFreq+slowDVFS                        parsec-blackscholes-simsmall-1                                                               parsec         2             1          53343000              53343061                   2.32218          12.4081       0.661886                156.548
parsec-blackscholes   1.0GHz+maxFreq+slowDVFS                        parsec-blackscholes-simsmall-2                                                               parsec         3             1          30757700              30757701                   2.26601          17.6379       0.542501                153.795
parsec-blackscholes   1.0GHz+maxFreq+slowDVFS                        parsec-blackscholes-simsmall-3                                                               parsec         4             1          23368600              23368668                   2.37295          21.4985       0.502391                153.027
parsec-bodytrack      1.0GHz+maxFreq+slowDVFS                        parsec-bodytrack-simsmall-1                                                                  parsec         3             1         170535300             170535333                   2.46969          13.3189       2.27134                 178.386
parsec-bodytrack      1.0GHz+maxFreq+slowDVFS                        parsec-bodytrack-simsmall-2                                                                  parsec         4             1          94545000              94545063                   2.46236          19.6935       1.86192                 175.133
parsec-canneal        1.0GHz+maxFreq+slowDVFS                        parsec-canneal-simsmall-1                                                                    parsec         2             1         670754000             670754019                   3.11466           8.10662      5.43755                  91.517
